user	item	rating	time
407	144	3	876338453
407	159	3	876338453
407	796	2	876338663
407	163	3	876338691
407	229	3	876338691
407	568	2	876338730
407	40	1	876338799
407	99	4	876338883
407	502	2	876338883
407	418	4	876338910
407	218	4	876338946
407	427	4	876338966
407	660	3	876338986
407	162	4	876339101
407	466	3	876339101
407	747	3	876339940
407	191	5	876339940
407	67	1	876339975
407	85	4	876339975
407	629	3	876339975
407	25	3	876339975
764	527	4	876339982
407	423	4	876340001
407	1118	4	876340043
407	712	2	876340043
407	972	3	876340120
407	4	4	876340144
407	88	3	876340144
407	715	4	876340239
407	196	4	876340318
407	151	4	876340363
407	82	3	876341409
407	732	4	876341443
407	785	3	876341444
407	203	4	876341467
407	443	3	876341493
407	231	3	876342031
407	399	3	876342618
407	123	3	876342671
407	382	3	876342706
407	1230	2	876342822
407	158	2	876342927
407	121	4	876343028
407	739	3	876344062
407	265	3	876344062
407	274	3	876344287
407	402	2	876344329
407	29	3	876344410
407	1263	2	876344668
407	708	3	876344712
407	393	2	876344736
407	72	4	876344772
407	449	2	876344772
407	232	3	876344993
407	226	3	876345024
407	1188	2	876345492
407	94	4	876345492
407	1041	3	876345492
407	635	3	876345934
601	258	5	876346344
601	1296	1	876346344
601	324	4	876346383
601	288	1	876346515
601	259	1	876346515
601	294	1	876346515
601	325	4	876346551
601	260	4	876346633
601	100	4	876346757
601	50	5	876346810
601	127	4	876346810
601	1084	5	876346849
601	475	4	876346890
601	276	4	876346890
601	250	4	876346930
601	109	4	876346930
601	151	3	876346930
601	508	4	876346964
601	181	5	876347039
601	222	4	876347039
601	15	1	876347040
601	410	4	876347113
601	21	3	876347113
601	107	4	876347113
601	455	4	876347148
601	123	1	876347148
601	1079	3	876347148
601	9	4	876347196
601	740	4	876347196
601	257	2	876347224
601	121	2	876347267
601	591	3	876347267
601	125	1	876347320
601	864	1	876347320
601	118	1	876347320
601	225	1	876347462
601	284	4	876347523
601	1028	2	876347557
601	1047	1	876347557
601	840	2	876347599
601	473	3	876347665
601	405	1	876347765
601	476	1	876347765
601	763	5	876348035
601	411	2	876348107
601	1615	4	876348107
601	928	1	876348140
601	148	3	876348140
601	472	1	876348177
407	186	4	876348198
601	287	1	876348215
407	756	2	876348232
601	934	1	876348285
407	569	3	876348296
601	820	1	876348316
407	219	4	876348318
407	62	3	876348318
407	405	3	876348318
601	834	1	876348381
601	743	1	876348410
601	98	3	876348526
601	178	4	876348526
601	318	4	876348572
601	174	4	876348572
601	671	4	876348572
407	400	1	876348583
601	195	3	876348611
407	1044	3	876348639
407	859	3	876348639
407	508	4	876348660
407	729	4	876348660
601	183	4	876348674
407	291	4	876348681
407	565	3	876348702
601	173	5	876348736
601	8	3	876348736
601	427	4	876348736
601	172	4	876348736
601	483	4	876348782
601	156	4	876348782
601	204	2	876348783
407	1090	2	876348799
601	176	2	876348820
601	22	4	876348820
407	1028	3	876348832
407	388	2	876348849
407	930	2	876348901
601	234	1	876348947
601	12	3	876348947
407	395	1	876348957
407	416	3	876348957
601	69	3	876348987
601	357	4	876349150
407	675	3	876349153
601	91	5	876349251
601	496	4	876349302
601	479	4	876349358
601	429	5	876349387
601	64	4	876349503
601	201	5	876349503
601	87	4	876349503
601	186	4	876349542
601	47	3	876349542
601	56	3	876349577
